품목일련번호,품목명,업소일련번호,업소명,성상,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤,분할선앞,분할선뒤,크기장축,크기단축,크기두께,이미지생성일자(약학정보원),분류번호,분류명,전문일반구분,품목허가일자,제형코드명,표기내용앞,표기내용뒤,표기이미지앞,표기이미지뒤,표기코드앞,표기코드뒤,변경일자
200903067,산도스올란자핀정5밀리그램,20161575,한국산도스(주),흰색의원형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MeM47xF86T,SZ,5,원형,하양,-,-,-,8,8,4,20101222,1170,정신신경용제,전문의약품,20090428,필름코팅정,-,-,-,-,-,-,20220224
200903068,올란프레서정5mg(올란자핀),20161462,한국노바티스(주),흰색의원형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400107,SZ,5,원형,하양,-,-,-,8,8,4,20111130,1170,정신신경용제,전문의약품,20090428,필름코팅정,-,-,-,-,-,-,-
200903078,산도스올란자핀정2.5밀리그램,20161575,한국산도스(주),흰색의원형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MeM47xF85t,SZ,2.5,원형,하양,-,-,-,7,7,1,20100823,1170,정신신경용제,전문의약품,20090430,필름코팅정,-,-,-,-,-,-,20220224
200903080,올란프레서정2.5mg(올란자핀),20161462,한국노바티스(주),흰색의원형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400122,SZ,2.5,원형,하양,-,-,-,7,7,3.25,20111130,1170,정신신경용제,전문의약품,20090430,필름코팅정,-,-,-,-,-,-,-
200903580,덴탈에프정(옥수수불검화정량추출물),19890010,한솔신약(주),주황색의원형당의정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661648918900142,T-32,-,원형,주황,-,-,-,11,11,4,20100713,2310,치과구강용약,일반의약품,20090525,당의정,-,-,-,-,-,-,-
200902147,에코닉신정(클로닉신리시네이트),19980005,화일약품(주),주황색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800158,ECX,-,원형,주황,-,-,-,9,9,4,20100929,1140,해열.진통.소염제,일반의약품,20090324,필름코팅정,-,-,-,-,-,-,-
200902301,그날엔정,19760002,경동제약(주),상|하층은백색내지유백색이고중간층은적색내지연적색인원형필름코팅삼중정제이며|상|하층에적색반점이있을수있다.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344700043,NKYUNGDONG,-,원형,하양|빨강,하양,-,-,8.6,8.6,4.8,20090925,1140,해열.진통.소염제,일반의약품,20090330,다층정,-,-,-,-,-,-,20190522
200704968,토핀정25밀리그램(토피라메이트),19940044,대한뉴팜(주),흰색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500049,마크분할선N,25,원형,하양,-,-,-,6,6,2,20100914,1130,항전간제,전문의약품,20070430,필름코팅정,D,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938640332900148,-,r0049,-,20200903
200709387,케티맥스정100밀리그램(푸마르산쿠에티아핀),20161575,한국산도스(주),"한면에“SZ""와다른한면에”231“이새겨진노란색의양면이볼록한원형필름코팅정제",https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500074,SZ,231,원형,노랑,-,-,-,9,9,4,20080522,1170,정신신경용제,전문의약품,20070809,필름코팅정,-,-,-,-,-,-,-
200808561,아네페질속붕정(도네페질염산염일수화물),19580008,대원제약(주),흰색또는연한노란색의원형속붕해성정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333323956100001,DWP,D10,원형,하양,-,-,-,10,10,3.5,20100503,1190,기타의중추신경용약,전문의약품,20080808,구강붕해정,-,-,-,-,-,-,-
200808653,사르반정80밀리그램(발사르탄),19710009,대우제약(주),엷은적색의둥근필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298766464500059,S분할선V,마크,원형,분홍,-,-,-,8.2,8.2,3.5,20111006,2140,혈압강하제,전문의약품,20080812,필름코팅정,-,D,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938640332900136,-,r0045,20220126
200903776,긴코센정120밀리그램(은행엽건조엑스),19580005,태극제약(주),녹색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000031,TG120,-,원형,초록,-,-,-,10,10,4,20111130,2190,기타의순환계용약,일반의약품,20090528,필름코팅정,-,-,-,-,-,-,20200723
200903782,칼루타미정150밀리그램(비칼루타미드),19650001,(주)종근당,흰색또는거의흰색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000034,CKD,150,원형,하양,-,-,-,10,10,5,20100201,4210,항악성종양제,전문의약품,20090528,필름코팅정,-,-,-,-,-,-,20181003
200903830,미가드정2.5밀리그램(프로바트립탄숙신산염일수화물),19570024,에스케이케미칼(주),양면이볼록한흰색원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151922765025100029,m,2.5,원형,하양,-,-,-,7.2,7.2,3.5,20091026,1140,해열.진통.소염제,전문의약품,20090529,필름코팅정,-,-,-,-,-,-,20200106
200903850,변락소정,19890010,한솔신약(주),황색의광택이있는장용성원형필름제피정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000055,T33,-,원형,노랑,-,-,-,7,7,2,20110125,2380,하제|완장제,일반의약품,20090601,장용성필름코팅정,-,-,-,-,-,-,-
200903974,칸데모어정16밀리그램(칸데사르탄실렉세틸),19650001,(주)종근당,분홍색의양면이볼록한원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MtVfJYNxry,C분할선16,CKD,원형,분홍,-,-,-,7,7,3.1,20090828,2140,혈압강하제,전문의약품,20090608,나정,-,-,-,-,-,-,20180831
200905961,프릴리지정60밀리그램(다폭세틴염산염),20152816,한국메나리니(주),회색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333333086600026,마크,-,원형,회색,-,-,-,8.6,8.6,3.6,20090914,2590,기타의비뇨생식기관및항문용약,전문의약품,20090729,필름코팅정,삼각형|60|6O,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938661567700040,-,r0408,-,20211014
200906578,뉴피오정(피오글리타존염산염),19580012,하나제약(주),백색내지회백색의원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400110,HN,15,원형,하양,-,-,-,7,7,2.8,20090923,3960,당뇨병용제,전문의약품,20090827,나정,-,-,-,-,-,-,20170716
200905455,아트로졸정(아나스트로졸),20161574,제일약품(주),이약은흰색의원형이며양면볼록한필름정제이다.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400131,JI,A,원형,하양,-,-,-,6,6,3.1,20091008,4210,항악성종양제,전문의약품,20090716,필름코팅정,-,-,-,-,-,-,20141106
200905929,애드릴정5밀리그램(이미다프릴염산염),19680005,삼익제약(주),흰색의원형정제|간혹특이한냄새가있다.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MnfO1MV_5S,마크5,-,원형,하양,-,-,-,5,5,2,20091026,2140,혈압강하제,전문의약품,20090727,나정,111|III|三|≡|삼,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938661567700130,-,r0440,-,-
200906073,트랜미정,20070064,(주)아이월드제약,흰색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6I4D,T7,-,원형,하양,-,-,-,10,10,3,20100527,2690,기타의외피용약,일반의약품,20090731,필름코팅정,-,-,-,-,-,-,20200814
200905675,큐크린정,19590001,에이프로젠제약(주),황색의장용성원형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900032,SL,CL,원형,노랑,-,-,-,7,7,0.6,20100107,2380,하제|완장제,일반의약품,20090720,장용성필름코팅정,-,-,-,-,-,-,-
200905926,러지펜정,19570023,동인당제약(주),황색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900083,DID,250,원형,노랑,-,-,-,8,8,5,20100129,1410,항히스타민제,전문의약품,20090727,필름코팅정,-,-,-,-,-,-,-
200906592,아스몬츄정5밀리그램(몬테루카스트나트륨),20161897,신일제약(주),양면이볼록한원형의씹어먹는분홍색정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151732699404500034,PHD471,MOK5,원형,분홍,-,-,-,9.57,9.57,4.39,20111223,1490,기타의알레르기용약,전문의약품,20090828,추어블정(저작정),-,-,-,-,-,-,20170629
200906611,산도스프라미펙솔정1밀리그램(프라미펙솔염산염),20161575,한국산도스(주),흰색또는미백색의원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152035082651700122,S분할선Z,17분할선6,원형,하양,-,-,-,9,9,3,20100125,1190,기타의중추신경용약,전문의약품,20090831,나정,-,-,-,-,-,-,-
200906557,리비알정(티볼론),20160587,한국엠에스디(주),한면에MK와2가다른한면에ORGANON★가각인된흰색의원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NW2jyerdY6,ORGANON★,MK2,원형,하양,-,-,-,6,6,2.7,20041222,2470,난포호르몬제및황체호르몬제,전문의약품,20090827,나정,별,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938647484100120,-,r0165,-,20170929
200906609,산도스프라미펙솔정0.125밀리그램(프라미펙솔염산염),20161575,한국산도스(주),흰색또는미백색의원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800010,SZ,173,원형,하양,-,-,-,8,8,3,20100125,1190,기타의중추신경용약,전문의약품,20090831,나정,-,-,-,-,-,-,-
200906540,로나센정2밀리그램(블로난세린)/로나센정4밀리그램(블로난세린),19630001,부광약품(주),흰색의원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MrmYmlR4oU,마크,L2,원형,하양,-,-,-,5,5,2.7,20100310,1170,정신신경용제,전문의약품,20090826,나정,川|≡,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938640332900025,-,r0008,-,20220608
200906330,그날엔큐정,19760002,경동제약(주),흰색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344700049,QKYUNGDONG,-,원형,하양|파랑,하양,-,-,9.1,9.1,5,20100617,1140,해열.진통.소염제,일반의약품,20090817,다층정,-,-,-,-,-,-,20220906
200906462,솔라제정(프로나제B),19640007,조아제약(주),흰색의원형장용성정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834130612500018,CΛ,-,원형,하양,-,-,-,7,7,4.2,20090908,3950,효소제제,일반의약품,20090820,장용성필름코팅정,-,-,-,-,-,-,-
200906642,더마화이트정,19660001,현대약품(주),흰색원형의필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627900033,T,C,원형,하양,-,-,-,10,10,5,20091119,2690,기타의외피용약,일반의약품,20090902,필름코팅정,-,-,-,-,-,-,20201207
200907189,클라빅신정(클로피도그렐황산수소염),19910001,한국유나이티드제약(주),분홍색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627900042,UT,CL,원형,분홍,-,-,-,8.7,8.7,4.1,20091127,2180,동맥경화용제,전문의약품,20090930,필름코팅정,-,-,-,-,-,-,20180928
200907385,에키나포스프로텍트정,19700009,한화제약(주),녹색빛을띤유백색의원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627900065,ECP,-,원형,노랑,-,-,-,12.11,12.11,5.95,20100428,2290,기타의호흡기관용약,일반의약품,20091012,나정,-,-,-,-,-,-,20111024
200907722,화이트프로젝트정,19570001,(주)에스트라,연한분홍빛을띄는흰색의원형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333336303000092,마크,W1,원형,하양,-,-,-,9.5,9.5,5.5,20100219,2690,기타의외피용약,일반의약품,20091027,필름코팅정,P|d,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938640332900187,-,r0062,-,-
200904307,버퍼린플러스정,19640001,에이치케이이노엔(주),흰색∼엷은황색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148777804344600060,BU,-,원형,하양,-,-,-,10.7,10.7,5.5,20100518,1140,해열.진통.소염제,일반의약품,20090619,필름코팅정,-,-,-,-,-,-,-
200904507,다이락스-큐정,19640007,조아제약(주),연두색의원형장용성정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834126208100140,CΛ,-,원형,연두,-,-,-,7.7,7.7,3.2,20100112,2380,하제|완장제,일반의약품,20090626,장용정,-,-,-,-,-,-,20120618
200904349,타미린서방정8밀리그램(갈란타민브롬화수소산염),19660001,현대약품(주),백색원형의필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426433479800039,HDP,G8,원형,하양,-,-,-,6.5,6.5,3.3,20090805,1190,기타의중추신경용약,전문의약품,20090622,서방성필름코팅정,-,-,-,-,-,-,20191008
200904340,타미린서방정16밀리그램(갈란타민브롬화수소산염),19660001,현대약품(주),분홍색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426433479800042,HDP,G16,원형,분홍,-,-,-,8.5,8.5,4.1,20090805,1190,기타의중추신경용약,전문의약품,20090622,서방성필름코팅정,-,-,-,-,-,-,20170921
200904419,박사르정2밀리그램(라시디핀),20161652,(주)글락소스미스클라인,흰색의양면이볼록한원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148609534390200137,2,-,원형,하양,-,-,-,9.6,9.6,4.3,20041223,2140,혈압강하제,전문의약품,20090624,필름코팅정,-,-,-,-,-,-,20130129
200905270,이리보정5마이크로그램(라모세트론염산염),20161072,한국아스텔라스제약(주),원형의담황색필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NB2DoAuQ_x,마크-5,-,원형,노랑,-,-,-,6.6,6.6,3,20100702,2390,기타의소화기관용약,전문의약품,20090713,필름코팅정,-,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938661567700085,-,r0424,-,20160617
200905349,진페리시정,19570027,한미약품(주),분홍색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426433479800198,HMJ,-,원형,분홍,-,-,-,9.34,9.34,5.58,20101105,3980,종합대사성제제,일반의약품,20090714,필름코팅정,-,-,-,-,-,-,-
200905124,니퀴틴민트트로키4밀리그램(니코틴폴라크리렉스),20162142,(주)글락소스미스클라인컨슈머헬스케어코리아,흰색또는약간회색을띤양면볼록한표면을가진원형의트로키제로한쪽표면에NL4S라고새겨져있다.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MaAIzBwRWu,NL4S,-,원형,하양,-,-,-,11,11,6,20090722,7990,따로분류되지않고치료를주목적으로하지않는의약품,일반의약품,20090709,트로키제,-,-,-,-,-,-,-
200905123,니퀴틴민트트로키2밀리그램(니코틴폴라크리렉스),20162142,(주)글락소스미스클라인컨슈머헬스케어코리아,흰색또는약간회색을띤양면볼록한표면을가진원형의트로키제로한쪽표면에NL2S라고새겨져있다.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MaAIzBwRWI,NL2S,-,원형,하양,-,-,-,11,11,6,20090722,7990,따로분류되지않고치료를주목적으로하지않는의약품,일반의약품,20090709,트로키제,-,-,-,-,-,-,-
200905264,린피스정(아스피린),20040011,(주)씨티씨바이오,분홍색원형의장용성필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426438997500129,YAS,-,원형,분홍,-,-,-,7,7,3.4,20120117,2190,기타의순환계용약,일반의약품,20090713,장용성필름코팅정,-,-,-,-,-,-,-
200905198,넥스핀정(아스피린),19960030,(주)넥스팜코리아,분홍색원형의장용성필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148777809115000196,NKY,-,원형,분홍,-,-,-,7.19,7.19,4,20100531,2190,기타의순환계용약,일반의약품,20090710,장용성필름코팅정,-,-,-,-,-,-,-
200905215,비오코딜정,19560015,신일제약(주),녹색원형의장용성필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400017,SI,-,원형,연두,-,-,-,9.13,9.13,3.98,20120521,2380,하제|완장제,일반의약품,20090710,필름코팅정,-,-,-,-,-,-,-
200905962,프릴리지정30밀리그램(다폭세틴염산염),20152816,한국메나리니(주),회색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mv5PQjxqCr,마크,-,원형,회색,-,-,-,6.6,6.6,3,20090914,2590,기타의비뇨생식기관및항문용약,전문의약품,20090729,필름코팅정,삼각형|30|3O,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938661567700037,-,r0407,-,20211014
201001699,큐로켈정25밀리그램(쿠에티아핀푸마르산염),19690005,명인제약(주),분홍색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333336303000038,Q25,MI,원형,분홍,-,-,-,5.5,5.5,3,20100324,1170,정신신경용제,전문의약품,20100225,필름코팅정,-,-,-,-,-,-,20201231
201001683,텔미스정40mg(텔미사르탄),19550010,삼일제약(주),흰색또는거의흰색의양면이볼록한원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426479322700162,마크,T분할선11,원형,하양,-,-,-,7.5,7.5,4,20130103,2140,혈압강하제,전문의약품,20100225,나정,siL|5iL,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938644048800047,-,r0080,-,20200117
201001685,텔미스정80mg(텔미사르탄),19550010,삼일제약(주),흰색또는거의흰색의양면이볼록한원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031773772000066,마크,T분할선12,원형,하양,-,-,-,9.5,9.5,4,20121217,2140,혈압강하제,전문의약품,20100225,나정,siL|5iL,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938644048800047,-,r0080,-,20200117
201001737,티자리드정1밀리그람(티자니딘염산염),19920004,광동제약(주),흰색의원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333333086600110,Y분할선Z,-,원형,하양,-,-,-,7,7,3,20100427,1220,골격근이완제,전문의약품,20100226,나정,-,-,-,-,-,-,20200217
201001707,유니발탄정80밀리그램(발사르탄),19570014,환인제약(주),엷은적색의원형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150825485838600067,DIL,W분할선I,원형,분홍,-,-,-,8,8,2,20110722,2140,혈압강하제,전문의약품,20100226,필름코팅정,-,-,-,-,-,-,20200402
201002064,바로페질오디정5밀리그램(도네페질염산염일수화물),19620001,신풍제약(주),흰색의원형구강붕해정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426484987700010,-,-,원형,하양,-,-,-,7,7,2.3,20101224,1190,기타의중추신경용약,전문의약품,20100312,구강붕해정,-,-,-,-,-,-,-
201001805,레그파라정25밀리그램(시나칼세트염산염),20161569,한국쿄와기린(주),담녹색또는담황녹색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333333086600002,KR02,KR02,원형,연두,-,-,-,8,8,4,20101117,3990,따로분류되지않는대사성의약품,전문의약품,20100304,필름코팅정,-,-,-,-,-,-,20170115
201001784,비트리모정,19640007,조아제약(주),분홍색의원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426484987700066,FOL,분할선,원형,분홍,-,-,-,7.6,7.6,2.8,20100318,3130,비타민B제(비타민B1을제외),일반의약품,20100303,나정,-,-,-,-,-,-,20120629
201002060,레볼레이드정25밀리그램(엘트롬보팍올라민),20161462,한국노바티스(주),흰색의양면이볼록한원형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MecIOjA65Z,GSNX325,-,원형,하양,-,-,-,10.4,10.4,4.3,20100623,3390,기타의혈액및체액용약,전문|희귀,20100312,필름코팅정,-,-,-,-,-,-,20211201
